"PEER_NO","group_k.cluster"
1,345
2,677
3,4
4,345
5,677
6,4
7,345
8,677
9,4
10,345
11,677
12,4
13,345
14,677
15,4
16,345
17,677
18,4
19,345
20,677
21,4
22,345
23,677
24,4
25,345
26,677
27,4
28,345
29,677
30,4
31,345
32,677
33,4
34,345
35,677
36,4
37,345
38,677
39,4
40,345
41,677
42,4
43,345
44,677
45,4
46,345
47,677
48,4
49,345
50,677
51,4
52,345
53,677
54,4
55,345
56,677
57,4
58,345
59,677
60,4
61,345
62,677
63,4
64,345
65,677
66,4
67,345
68,677
69,4
70,345
71,677
72,4
73,345
74,677
75,4
76,345
77,677
78,4
79,345
80,677
81,4
82,345
83,677
84,4
85,345
86,677
87,4
88,345
89,677
90,4
91,345
92,677
93,4
94,345
95,677
96,4
97,345
98,677
99,4
100,345
101,677
102,4
103,345
104,677
105,4
106,345
107,677
108,4
109,345
110,677
111,4
112,345
113,677
114,4
115,345
116,677
117,4
118,345
119,677
120,4
121,345
122,677
123,4
124,345
125,677
126,4
127,345
128,677
129,4
130,345
131,677
132,4
133,345
134,677
135,4
136,345
137,677
138,4
139,345
140,677
141,4
142,345
143,677
144,4
145,345
146,677
147,4
148,345
149,677
150,4
151,345
152,677
153,4
154,345
155,677
156,4
157,345
158,677
159,4
160,345
161,677
162,4
163,345
164,677
165,4
166,345
167,677
168,4
169,345
170,677
171,4
172,345
173,677
174,4
175,345
176,677
177,4
178,345
179,677
180,4
181,345
182,677
183,4
184,345
185,677
186,4
187,345
188,677
189,4
190,345
191,677
192,4
193,345
194,677
195,4
196,345
197,677
198,4
199,345
200,677
201,4
202,345
203,677
204,4
205,345
206,677
207,4
208,345
209,677
210,4
211,345
212,677
213,4
214,345
215,677
216,4
217,345
218,677
219,4
220,345
221,677
222,4
223,345
224,677
225,4
226,517
227,841
228,171
229,517
230,841
231,171
232,517
233,841
234,171
235,517
236,841
237,171
238,517
239,841
240,171
241,517
242,841
243,171
244,517
245,841
246,171
247,517
248,841
249,171
250,517
251,841
252,171
253,517
254,841
255,171
256,517
257,841
258,171
259,517
260,841
261,171
262,517
263,841
264,171
265,517
266,841
267,171
268,517
269,841
270,171
271,517
272,841
273,171
274,517
275,841
276,171
277,517
278,841
279,171
280,517
281,841
282,171
283,517
284,841
285,171
286,517
287,841
288,171
289,517
290,841
291,171
292,517
293,841
294,171
295,517
296,841
297,171
298,517
299,841
300,171
301,517
302,841
303,171
304,517
305,841
306,171
307,517
308,841
309,171
310,517
311,841
312,171
313,517
314,841
315,171
316,517
317,841
318,171
319,517
320,841
321,171
322,517
323,841
324,171
325,517
326,841
327,171
328,517
329,841
330,171
331,517
332,841
333,171
334,517
335,841
336,171
337,517
338,841
339,171
340,517
341,841
342,171
343,517
344,841
345,171
346,517
347,841
348,171
349,517
350,841
351,171
352,517
353,841
354,171
355,517
356,841
357,171
358,517
359,841
360,171
361,517
362,841
363,171
364,517
365,841
366,171
367,517
368,841
369,171
370,517
371,841
372,171
373,517
374,841
375,171
376,517
377,841
378,171
379,517
380,841
381,171
382,517
383,841
384,171
385,517
386,841
387,171
388,517
389,841
390,171
391,517
392,841
393,171
394,517
395,841
396,171
397,517
398,841
399,171
400,517
401,841
402,171
403,517
404,841
405,171
406,517
407,841
408,171
409,517
410,841
411,171
412,517
413,841
414,171
415,517
416,841
417,171
418,517
419,841
420,171
421,517
422,841
423,171
424,517
425,841
426,171
427,517
428,841
429,171
430,517
431,841
432,171
433,517
434,841
435,171
436,517
437,841
438,171
439,517
440,841
441,171
442,517
443,841
444,171
445,517
446,841
447,171
448,517
449,841
450,171
451,361
452,695
453,22
454,361
455,695
456,22
457,361
458,695
459,22
460,361
461,695
462,22
463,361
464,695
465,22
466,361
467,695
468,22
469,361
470,695
471,22
472,361
473,695
474,22
475,361
476,695
477,22
478,361
479,695
480,22
481,361
482,696
483,22
484,361
485,696
486,22
487,361
488,696
489,22
490,361
491,696
492,22
493,361
494,696
495,22
496,361
497,695
498,22
499,361
500,695
501,22
502,361
503,695
504,22
505,361
506,695
507,22
508,361
509,695
510,22
511,361
512,695
513,22
514,361
515,696
516,22
517,361
518,695
519,22
520,361
521,695
522,22
523,361
524,696
525,22
526,361
527,696
528,22
529,361
530,696
531,22
532,361
533,696
534,22
535,361
536,696
537,22
538,361
539,696
540,22
541,361
542,695
543,22
544,361
545,695
546,22
547,361
548,695
549,22
550,361
551,695
552,22
553,361
554,695
555,22
556,361
557,695
558,22
559,361
560,695
561,22
562,361
563,695
564,22
565,361
566,695
567,22
568,361
569,696
570,22
571,361
572,695
573,22
574,361
