"PEER_GROUP_No","COLUMN_NAME","0%","1%","2%","3%","4%","5%","6%","7%","8%","9%","10%","11%","12%","13%","14%","15%","16%","17%","18%","19%","20%","21%","22%","23%","24%","25%","26%","27%","28%","29%","30%","31%","32%","33%","34%","35%","36%","37%","38%","39%","40%","41%","42%","43%","44%","45%","46%","47%","48%","49%","50%","51%","52%","53%","54%","55%","56%","57%","58%","59%","60%","61%","62%","63%","64%","65%","66%","67%","68%","69%","70%","71%","72%","73%","74%","75%","76%","77%","78%","79%","80%","81%","82%","83%","84%","85%","86%","87%","88%","89%","90%","91%","92%","93%","94%","95%","96%","97%","98%","99%","100%"
1,"금융자산",806.98,809.454,835.75,977.711,994.382,1053.745,1076.18,1090.689,1104.378,1115.845,1126.37,1183.46,1212.988,1217.055,1245.702,1262.935,1277.64,1287.116,1315.402,1328.869,1340.22,1356.405,1362.702,1376.46,1379.508,1382.805,1386.126,1395.278,1396.39,1403.499,1435.82,1440.7,1452.234,1465.79,1472.342,1479.38,1480.304,1488.828,1495.382,1499.29,1499.29,1528.033,1582.95,1585.657,1597.63,1599.01,1599.01,1599.01,1602.55,1614.842,1636.82,1675.247,1688.606,1693.454,1718.338,1762.565,1784.46,1795.587,1808.554,1812.87,1828.72,1840.884,1847.194,1871.45,1900.24,1907.97,1920.52,1923.499,1941.012,1965.147,2052.8,2063.265,2067.75,2067.75,2067.75,2102.12,2133.118,2158.036,2174.314,2245.823,2296.93,2330.05,2343.014,2353.45,2367.05,2445.175,2475.28,2511.523,2515.55,2527.881,2575.99,2651.043,2812.57,2866.687,3007.488,3016.75,3124.612,3366.576,3658.11,3936.726,4252.07
1,"월저축금액",39.63,48.181,48.49,50.717,52.08,52.87,53.26,53.26,54.25,55.762,56.56,57.04,57.428,58.01,58.058,58.94,59.036,59.1,59.4,59.47,59.54,59.764,60.154,61.951,62.52,63.035,63.68,63.716,63.78,63.798,64.14,64.14,64.14,64.146,64.808,65.795,67.932,69.457,69.914,70.399,70.84,70.93,71.14,71.14,71.14,71.18,71.242,71.402,71.74,72.4,72.9,73.845,74.046,74.24,75.256,75.42,75.684,76.74,78.39,79.21,79.92,82.068,83.558,84.08,84.08,84.345,84.71,85.115,85.2,85.717,86.06,86.592,87.024,87.18,87.18,87.25,87.32,87.914,88.046,88.09,88.09,88.16,88.43,89.37,89.37,89.845,90.406,90.75,90.97,90.97,91.07,91.182,91.23,93.191,95.716,96.56,97.388,107.419,108.974,109.834,135.96
1,"월소비금액",82.48,85.49,97.712,109.557,112.128,115.315,118.796,122.138,122.716,123.163,123.5,125.224,126.614,127.403,129.116,131.75,133.722,134.89,135.236,136.515,138.27,138.97,139.488,140.46,140.894,141.15,141.436,141.866,144.754,145.19,145.93,146.47,147.094,147.14,147.196,147.21,147.62,149.26,151.29,152.01,152.86,153.586,155.548,156.432,158.37,158.975,159.336,160.19,160.892,162.242,165.55,166.446,168.31,168.973,169.338,169.51,169.956,171.912,172.52,172.97,173.1,173.1,173.392,174.03,175.206,175.5,175.666,176.429,176.626,176.927,178.36,179.301,179.968,180.388,180.55,181.43,181.752,181.961,187.944,188.501,189.92,190.61,195.174,202.085,202.22,205.03,213.106,222.65,223.262,224.732,227.21,231.104,233.48,235.544,244.568,257.275,279.756,291.292,306.81,306.81,308.11
2,"금융자산",1281.12,1391.0088,1465.296,1483.214,1540.9,1610.964,1685.0788,1720.437,1723.878,1784.7796,1830.358,1835.4358,1873.6984,1922.3728,1941.5184,1975.037,2023.8868,2031.0054,2044.284,2093.047,2145.758,2199.3854,2215.3628,2254.579,2325.972,2341.97,2348.428,2370.531,2385.3584,2394.9312,2417.398,2444.9696,2481.0412,2507.0112,2529.834,2555.13,2567.37,2567.37,2589.1988,2609.1346,2618.726,2625.2598,2631.1068,2648.1072,2685.9256,2749.023,2759.2,2773.4772,2836.7048,2886.4196,2927.6,3030.2968,3100.7712,3120.2268,3149.8584,3198.826,3332.9072,3457.9818,3575.6392,3679.5796,3776.406,3860.2796,3914.8536,3956.722,3991.876,4019.35,4038.632,4042.8534,4053.098,4087.074,4140.742,4204.821,4256.312,4302.59,4341.65,4349.21,4351.4024,4362.7298,4369.7012,4373.5266,4379.218,4382.93,4382.93,4421.5102,4472.16,4513.7,4576.776,4660.042,4723.4,4836.4902,5076.362,5153.74,5178.1588,5556.6502,5882.0872,6143.101,6343.2072,6559.3498,6870.6332,7058.5572,7168.57
2,"월저축금액",63.95,78.3278,89.996,97.374,99.04,99.432,101.8624,103.6434,104.8896,105.0802,105.206,105.3486,105.39,105.45,106.07,106.675,107.264,107.4588,107.6608,108.0514,108.462,108.876,109.062,109.2116,109.3108,109.42,109.5844,109.9688,110.13,110.13,110.13,110.8824,113.0028,113.596,113.806,115.015,115.856,116.352,116.6128,116.8286,116.996,117.2474,117.5372,117.8038,118.1348,118.544,118.7556,118.9166,119.0344,119.3422,119.77,119.7886,119.8,119.8,120.7552,122.181,124.6052,126.754,128.676,128.8,128.81,128.841,129.3824,130.1062,130.5836,131.133,131.7592,131.84,132.2976,134.0708,134.808,134.97,134.97,135.438,136.554,136.77,136.89,137.51,139.5016,142.4838,145.568,149.1418,153.5996,154.75,154.75,154.75,155.1148,155.8216,155.89,155.9692,156.242,156.33,156.33,156.33,156.33,156.33,156.8136,157.26,157.26,161.7174,168.99
2,"월소비금액",130.08,130.08,130.1568,130.3552,130.7648,131.232,131.6784,131.88,131.88,133.7302,135.218,135.6768,136.844,138.16,138.16,145.663,161.1692,166.2966,169.3344,170.7852,174.56,179.7548,189.2036,198.0388,206.0244,207.715,208.502,211.819,213.4548,213.8764,214.07,219.2896,233.6612,237.5218,238.236,242.39,244.4,244.4,244.4,244.499,244.84,245.2398,245.6432,245.6928,245.818,246.035,246.9072,247.68,247.68,247.946,248.38,248.597,249.6996,252.2044,252.938,253.369,254.9128,255.7324,255.9556,258.2146,259.84,259.84,259.84,259.84,259.84,259.981,260.2724,260.445,260.6192,260.8486,263.618,267.65,267.65,268.1674,269.4012,270.845,272.0956,272.3312,274.9752,279.3586,279.5,279.5,279.5,280.0888,280.78,280.78,280.78,280.78,283.6584,285.992,286.24,288.8988,293.086,302.789,310.8456,316.903,317.88,318.7116,322.3944,327.7226,334.09
3,"금융자산",177.89,225.9095,280.446,285.5375,285.95,287.4625,287.65,289.13,289.222,297.28,306.045,336.218,340.8,345.965,346.215,350.395,353.064,356.3705,369.897,382.3755,385.37,391.44,393.468,396.2865,397.64,412.87,414.95,426.821,429.874,434.605,440.225,445.4435,448.264,454.847,466.311,467.54,467.856,472.365,475.712,493.853,506.23,507.9795,525.887,540.41,544.148,560.78,571.94,574.913,578.662,580.4715,589.785,597.671,607.556,613.644,623.741,632.515,638.728,645.771,650.266,656.69,667.63,674.12,674.129,676.619,686.216,710.235,731.373,748.7095,751.544,757.98,758.195,771.462,782.892,790.057,792.893,801.195,807.32,812.82,819.08,837.548,841.92,852.84,858.333,864.6735,876.51,884.3825,895.851,901.281,923.082,928.3595,933.82,937.9905,945.038,984.174500000001,992.967,1023.5525,1080.854,1117.427,1121.74,1216.2885,2505.77
3,"월저축금액",13.79,17.5755,18.44,18.6,18.736,18.82,19.714,19.7615,20.01,20.104,20.37,20.41,20.626,21.0165,21.599,21.765,22.19,22.79,22.827,22.83,23.27,23.31,23.522,24.5405,24.974,25.04,25.26,25.3345,26.394,26.48,26.495,26.7385,26.966,27.15,27.32,27.335,27.736,28.012,28.465,28.9325,29.05,29.093,29.487,29.6945,29.962,30.09,30.09,30.393,30.638,30.848,31.16,31.359,31.53,31.83,31.833,32.0275,32.24,32.3445,32.977,33.154,33.56,33.9675,34.115,34.61,34.698,34.9,35.166,35.3895,35.964,36.2045,36.46,36.653,37.442,37.864,38.47,38.49,38.554,38.9695,39.778,40.2,40.91,41.4,41.562,42.3835,43.222,43.67,43.913,44.424,45.46,45.8685,46.85,47.5445,49.41,49.41,49.8,50.6925000000001,53.964,55.61,55.68,55.833,58.01
3,"월소비금액",54.63,60.5815,61.931,62.3545,62.77,63.1725,65.945,67.123,67.998,70.36,70.41,71.1265,71.34,71.58,72.1,72.3025,73.074,73.684,74.521,74.727,74.73,74.8595,75.14,75.46,75.71,75.71,75.94,76.27,76.27,76.284,77.105,77.7795,78.198,78.984,80.506,81.62,83.064,83.43,84.749,85.17,85.17,87.128,87.592,88.22,89.422,91.57,92.59,92.7145,93.38,93.9595,94.2,94.824,95.592,95.707,96.517,97.54,100.46,100.49,101.03,101.22,102.21,103.68,105.423,105.719,106.648,107.9375,108.423,108.902,109.536,109.822,110.945,112.3515,114.43,115.349,118.19,118.81,119.65,119.66,120.353,121.826,123.07,123.322,123.634,123.778,124.854,127.3325,133.065,134.0145,134.49,136.2255,136.845,139.48,139.784,140.39,140.706,140.96,141.76,148.8695,153.62,156.753,222.65
